Seed,index,X_b,Q,t,X,F,errF
400,1,0.2,2.5,-0.3,-0.147622,0.174727,0.0185962
400,1,0.2,2.5,-0.3,1.16741,0.136625,0.0163513
400,1,0.2,2.5,-0.3,2.27313,0.0704266,0.00829923
400,1,0.2,2.5,-0.3,3.28716,0.0484795,0.00475396
400,1,0.2,2.5,-0.3,4.16189,0.0782301,0.00769924
400,1,0.2,2.5,-0.3,5.2628,0.144863,0.0156864
400,1,0.2,2.5,-0.3,5.73767,0.166092,0.0185698
400,1,0.4,2.5,-0.3,-0.147622,0.0384315,0.00360365
400,1,0.4,2.5,-0.3,1.16741,0.030051,0.00462813
400,1,0.4,2.5,-0.3,2.27313,0.0154904,0.00225626
400,1,0.4,2.5,-0.3,3.28716,0.0106631,0.000594158
400,1,0.4,2.5,-0.3,4.16189,0.0172068,0.000986676
400,1,0.4,2.5,-0.3,5.2628,0.0318628,0.00325642
400,1,0.4,2.5,-0.3,5.73767,0.0365322,0.00431821
400,1,0.6,2.5,-0.3,-0.147622,0.0140302,0.000919507
400,1,0.6,2.5,-0.3,1.16741,0.0109707,0.00252931
400,1,0.6,2.5,-0.3,2.27313,0.00565511,0.00117437
400,1,0.6,2.5,-0.3,3.28716,0.0038928,0.000150579
400,1,0.6,2.5,-0.3,4.16189,0.00628172,0.000215087
400,1,0.6,2.5,-0.3,5.2628,0.0116322,0.00103105
400,1,0.6,2.5,-0.3,5.73767,0.0133369,0.00176672
400,1,0.8,2.5,-0.3,-0.147622,0.00616797,5.46573E-05
400,1,0.8,2.5,-0.3,1.16741,0.00482295,0.00185305
400,1,0.8,2.5,-0.3,2.27313,0.0024861,0.000825779
400,1,0.8,2.5,-0.3,3.28716,0.00171135,0.000390539
400,1,0.8,2.5,-0.3,4.16189,0.00276157,0.000602303
400,1,0.8,2.5,-0.3,5.2628,0.00511374,0.000314023
400,1,0.8,2.5,-0.3,5.73767,0.00586314,0.000944612
400,1,0.2,3,-0.3,-0.147622,0.177105,0.0188577
400,1,0.2,3,-0.3,1.16741,0.138484,0.0165558
400,1,0.2,3,-0.3,2.27313,0.0713848,0.00840464
